name,rating,priceLevel,numberOfReviews,address,rest_lat,rest_long,nearest_station_id,nearest_station_name,distance_to_station_km,distance_band
Brunetti Classico - Carlton,4.5,$$ - $$$,3247,"380 Lygon St 380 Lygon St, Carlton Vic, Melbourne, Victoria 3053 Australia",-37.798037472087,144.967666782889,19842,Melbourne Central,1.396,>1000 m
Lucy Liu Kitchen and Bar,4.5,$$ - $$$,1195,"23 Oliver Lane, Melbourne, Victoria 3000 Australia",-37.816018372688,144.969859404941,19854,Flinders Street,0.36,250–500 m
Max Bar Restaurant,4,$$ - $$$,1405,"54 - 58 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.813373840327,144.961247921438,19842,Melbourne Central,0.4,250–500 m
San Telmo,4.5,$$ - $$$,709,"14 Meyers Pl, Melbourne, Victoria 3000 Australia",-37.81224211576,144.972422423294,19843,Parliament,0.139,<=250 m
Bamboo House Chinese Restaurant,4.5,$$ - $$$,405,"47 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.811056830832,144.97108525828,19843,Parliament,0.16,<=250 m
Vue De Monde,4.5,$$$$,2035,"525 Collins St Rialto Building 55th Floor, Melbourne, Victoria 3000 Australia",-37.8185477377,144.956990668996,22180,Southern Cross,0.495,250–500 m
Il Bacaro Cucina e Bar,4.5,$$$$,504,"68-170 Little Collins St 168-170 Little Collins St, Melbourne, Victoria 3000 Australia",-37.813858523878,144.967909858081,19854,Flinders Street,0.501,500–1000 m
Grand Trailer Park Taverna,4.5,$$ - $$$,296,"87 Bourke St, Melbourne, Victoria 3000 Australia",-37.812161942856,144.970905131181,19843,Parliament,0.215,<=250 m
B'Churrasco Brazilian BBQ,4.5,$$ - $$$,557,"61 A'Beckett St, Melbourne, Victoria 3000 Australia",-37.809172578998,144.961739352421,19842,Melbourne Central,0.114,<=250 m
The Hardware Societe,4.5,$$ - $$$,1879,"10 Katherine Pl, Melbourne, Victoria 3000 Australia",-37.819941438651,144.956612728982,22180,Southern Cross,0.508,500–1000 m
Supernormal,4.5,$$ - $$$,1619,"180 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.815230264242,144.968178498078,19854,Flinders Street,0.358,250–500 m
Embla,4.5,$$ - $$$,266,"122 Russell St, Melbourne, Victoria 3000 Australia",-37.813423042099,144.968663642634,19843,Parliament,0.457,250–500 m
Cucinetta,4.5,$$ - $$$,401,"U 4 3 Murphy St South Yarra, Melbourne, Victoria 3141 Australia",-37.83830597896,144.990119973659,19959,South Yarra,0.196,<=250 m
Chocolate Buddha,4.5,$$ - $$$,717,"Cnr. Flinders & Swanston Street Federation Square, Melbourne, Victoria 3000 Australia",-37.818213341673,144.968058972139,19854,Flinders Street,0.097,<=250 m
The Grain Store,4.5,$$ - $$$,1248,"Ground Floor 517 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.819767849436,144.956465375124,22180,Southern Cross,0.488,250–500 m
Cargo Restaurant,4.5,$$ - $$$,696,"Docklands Melbourne, Melbourne, Victoria 3008 Australia",-37.815069708887,144.936424160812,19973,North Melbourne,1.072,>1000 m
Cecconi's Flinders Lane,4.5,$$$$,539,"61 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.814985386941,144.972503057203,19843,Parliament,0.439,250–500 m
MoVida Next Door,4.5,$$ - $$$,528,"164 Flinders St, Melbourne, Victoria 3000 Australia",-37.816755561073,144.969114086111,19854,Flinders Street,0.256,250–500 m
Punch Lane,4.5,$$ - $$$,667,"43 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.810880601318,144.971335122814,19843,Parliament,0.14,<=250 m
DOC Pizza & Mozzarella Bar,4.5,$$ - $$$,672,"295 Drummond St, Melbourne, Victoria 3053 Australia",-37.798980603832,144.968469350118,19842,Melbourne Central,1.323,>1000 m
Kenzan Japanese Restaurant,4.5,$$ - $$$,278,"56 Flinders Lane At Collins Place, Melbourne, Victoria 3000 Australia",-37.814422311641,144.973437597497,19843,Parliament,0.377,250–500 m
Seasons Provedore,4.5,$$ - $$$,494,"199 Lygon St, Melbourne, Victoria 3053 Australia",-37.800966989156,144.966653997529,19842,Melbourne Central,1.059,>1000 m
1806,4.5,$$ - $$$,259,"169 Exhibition St, Melbourne, Victoria 3000 Australia",-37.811643689783,144.970093595316,19843,Parliament,0.256,250–500 m
The Meat & Wine Co Southbank,4,$$ - $$$,1478,"3 Freshwater Pl 3 Queensbridge Street, Melbourne, Victoria 3006 Australia",-37.821534209802,144.962471427844,19854,Flinders Street,0.534,500–1000 m
Philippe,4.5,$$$$,261,"115 Collins St, Melbourne, Victoria 3000 Australia",-37.814731918189,144.969957473208,19854,Flinders Street,0.476,250–500 m
The Quarter,4,$$ - $$$,745,"27 Degraves St, Melbourne, Victoria 3000 Australia",-37.817042725076,144.965478351789,19854,Flinders Street,0.192,<=250 m
Cookie,4,$$ - $$$,1050,"U 1 252 Swanston St Level 1, 252 Swanston St, Melbourne, Victoria 3000 Australia",-37.81199279605,144.965206107574,19842,Melbourne Central,0.324,250–500 m
P.J.O'Brien's Irish Pub,4,$$ - $$$,544,"Southgate Southgate Restaurant & Shopping Precinct, Melbourne, Victoria 3006 Australia",-37.820228854111,144.966524161848,19854,Flinders Street,0.217,<=250 m
The  European,4,$$ - $$$,951,"161 Spring St, Melbourne, Victoria 3000 Australia",-37.810884079808,144.972584529301,19843,Parliament,0.034,<=250 m
Rosco's at Chevron Cafe Bar,4.5,$$ - $$$,262,"14/519 St Kilda Rd, Melbourne, Victoria 3004 Australia",-37.845580213631,144.979401279697,19958,Prahran,1.017,>1000 m
Hakata Gensuke Ramen,4.5,$,369,"168 Russell St, Melbourne, Victoria 3000 Australia",-37.812288132409,144.968139522228,19843,Parliament,0.441,250–500 m
Taxi Kitchen,4.5,$$ - $$$,953,"Level 1, Federation Square, Flinders Street Transport Hotel, Melbourne, Victoria 3000 Australia",-37.818263297816,144.969184158821,19854,Flinders Street,0.195,<=250 m
